# target,,uncorrected (10 iterations),,,,extrapolated (11 iterations),,,,high frequency slope correction (7 iterations),,,
# period (s),sa (g),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s)
,,,,0.27845,0.0256208,,,0.149891,0.018589,,,0.149891,0.0185715
,,,,0.279296,0.0256646,,,0.150449,0.0186235,,,0.150449,0.018606
,,,,0.280145,0.0257101,,,0.151008,0.0186581,,,0.151008,0.0186406
,,,,0.280997,0.0257574,,,0.15157,0.0186928,,,0.15157,0.0186752
,,,,0.281852,0.0258064,,,0.152134,0.0187275,,,0.152134,0.0187099
,,,,0.282709,0.0258571,,,0.1527,0.0187624,,,0.1527,0.0187447
,,,,0.283568,0.0259095,,,0.153268,0.0187972,,,0.153268,0.0187795
,,,,0.28443,0.0259635,,,0.153838,0.0188321,,,0.153838,0.0188144
,,,,0.285295,0.0260191,,,0.15441,0.0188671,,,0.15441,0.0188494
,,,,0.286163,0.0260763,,,0.154985,0.0189022,,,0.154985,0.0188844
,,,,0.287033,0.026135,,,0.155561,0.0189373,,,0.155561,0.0189195
,,,,0.287906,0.0261951,,,0.15614,0.0189725,,,0.15614,0.0189547
,,,,0.288781,0.0262567,,,0.156721,0.0190078,,,0.156721,0.0189899
,,,,0.289659,0.0263197,,,0.157304,0.0190431,,,0.157304,0.0190252
,,,,0.29054,0.0263841,,,0.157889,0.0190785,,,0.157889,0.0190605
,,,,0.291423,0.0264498,,,0.158476,0.0191139,,,0.158476,0.019096
,,,,0.292309,0.0265168,,,0.159066,0.0191495,,,0.159066,0.0191314
,,,,0.293198,0.026585,,,0.159658,0.0191851,,,0.159658,0.019167
,,,,0.29409,0.0266545,,,0.160252,0.0192207,,,0.160252,0.0192026
,,,,0.294984,0.0267252,,,0.160848,0.0192564,,,0.160848,0.0192383
,,,,0.295881,0.026797,,,0.161446,0.0192922,,,0.161446,0.0192741
,,,,0.29678,0.0268699,,,0.162047,0.0193281,,,0.162047,0.0193099
,,,,0.297683,0.0269439,,,0.16265,0.019364,,,0.16265,0.0193458
,,,,0.298588,0.0270189,,,0.163255,0.0194,,,0.163255,0.0193817
,,,,0.299496,0.0270949,,,0.163862,0.019436,,,0.163862,0.0194177
,,,,0.300406,0.0271719,,,0.164472,0.0194721,,,0.164472,0.0194538
,,,,0.30132,0.0272499,,,0.165083,0.0195083,,,0.165083,0.01949
,,,,0.302236,0.0273287,,,0.165698,0.0195446,,,0.165698,0.0195262
,,,,0.303155,0.0274083,,,0.166314,0.0195809,,,0.166314,0.0195625
,,,,0.304077,0.0274888,,,0.166933,0.0196173,,,0.166933,0.0195988
,,,,0.305001,0.0275701,,,0.167554,0.0196537,,,0.167554,0.0196352
,,,,0.305929,0.0276521,,,0.168177,0.0196903,,,0.168177,0.0196717
,,,,0.306859,0.0277349,,,0.168803,0.0197268,,,0.168803,0.0197083
,,,,0.307792,0.0278183,,,0.169431,0.0197635,,,0.169431,0.0197449
,,,,0.308728,0.0279023,,,0.170061,0.0198002,,,0.170061,0.0197816
,,,,0.309666,0.027987,,,0.170694,0.019837,,,0.170694,0.0198184
,,,,0.310608,0.0280722,,,0.171329,0.0198739,,,0.171329,0.0198552
,,,,0.311552,0.028158,,,0.171966,0.0199108,,,0.171966,0.0198921
,,,,0.3125,0.0282443,,,0.172606,0.0199478,,,0.172606,0.0199291
,,,,0.31345,0.028331,,,0.173248,0.0199849,,,0.173248,0.0199661
,,,,0.314403,0.0284182,,,0.173892,0.020022,,,0.173892,0.0200032
,,,,0.315359,0.0285058,,,0.174539,0.0200592,,,0.174539,0.0200404
,,,,0.316318,0.0285938,,,0.175188,0.0200965,,,0.175188,0.0200776
,,,,0.31728,0.0286821,,,0.17584,0.0201339,,,0.17584,0.0201149
,,,,0.318244,0.0287708,,,0.176494,0.0201713,,,0.176494,0.0201523
,,,,0.319212,0.0288597,,,0.177151,0.0202088,,,0.177151,0.0201897
,,,,0.320182,0.0289489,,,0.17781,0.0202463,,,0.17781,0.0202273
,,,,0.321156,0.0290383,,,0.178471,0.0202839,,,0.178471,0.0202649
,,,,0.322132,0.0291279,,,0.179135,0.0203216,,,0.179135,0.0203025
,,,,0.323112,0.0292177,,,0.179802,0.0203594,,,0.179802,0.0203402
,,,,0.324094,0.0293076,,,0.180471,0.0203972,,,0.180471,0.020378
,,,,0.32508,0.0293976,,,0.181142,0.0204351,,,0.181142,0.0204159
,,,,0.326068,0.0294878,,,0.181816,0.0204731,,,0.181816,0.0204538
,,,,0.32706,0.0295779,,,0.182492,0.0205112,,,0.182492,0.0204919
,,,,0.328054,0.0296682,,,0.183171,0.0205493,,,0.183171,0.0205299
,,,,0.329052,0.0297584,,,0.183852,0.0205875,,,0.183852,0.0205681
,,,,0.330052,0.0298487,,,0.184536,0.0206257,,,0.184536,0.0206063
,,,,0.331056,0.0299389,,,0.185223,0.020664,,,0.185223,0.0206446
,,,,0.332062,0.030029,,,0.185912,0.0207024,,,0.185912,0.020683
,,,,0.333072,0.0301191,,,0.186604,0.0207409,,,0.186604,0.0207214
,,,,0.334085,0.0302091,,,0.187298,0.0207795,,,0.187298,0.0207599
,,,,0.3351,0.030299,,,0.187994,0.0208181,,,0.187994,0.0207985
