# target,,uncorrected (10 iterations),,,,extrapolated (11 iterations),,,,high frequency slope correction (7 iterations),,,
# period (s),sa (g),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s)
,,,,1.42593,0.0458401,,,1.105,0.0454041,,,1.105,0.0454045
,,,,1.43027,0.0458524,,,1.10912,0.0454111,,,1.10912,0.0454116
,,,,1.43462,0.0458647,,,1.11324,0.0454179,,,1.11324,0.0454184
,,,,1.43898,0.0458772,,,1.11738,0.0454244,,,1.11738,0.0454249
,,,,1.44336,0.0458898,,,1.12154,0.0454306,,,1.12154,0.0454312
,,,,1.44775,0.0459025,,,1.12571,0.0454366,,,1.12571,0.0454372
,,,,1.45215,0.0459152,,,1.1299,0.0454424,,,1.1299,0.045443
,,,,1.45656,0.0459281,,,1.1341,0.0454479,,,1.1341,0.0454485
,,,,1.46099,0.045941,,,1.13832,0.0454533,,,1.13832,0.0454539
,,,,1.46543,0.0459539,,,1.14256,0.0454584,,,1.14256,0.045459
,,,,1.46989,0.0459668,,,1.14681,0.0454634,,,1.14681,0.045464
,,,,1.47436,0.0459798,,,1.15107,0.0454682,,,1.15107,0.0454688
,,,,1.47884,0.0459927,,,1.15536,0.0454728,,,1.15536,0.0454734
,,,,1.48334,0.0460057,,,1.15965,0.0454773,,,1.15965,0.0454779
,,,,1.48785,0.0460186,,,1.16397,0.0454817,,,1.16397,0.0454823
,,,,1.49237,0.0460315,,,1.1683,0.0454859,,,1.1683,0.0454866
,,,,1.49691,0.0460443,,,1.17264,0.0454901,,,1.17264,0.0454907
,,,,1.50146,0.046057,,,1.17701,0.0454941,,,1.17701,0.0454948
,,,,1.50603,0.0460696,,,1.18138,0.0454981,,,1.18138,0.0454988
,,,,1.51061,0.0460822,,,1.18578,0.0455021,,,1.18578,0.0455028
,,,,1.5152,0.0460946,,,1.19019,0.045506,,,1.19019,0.0455067
,,,,1.51981,0.0461069,,,1.19462,0.0455099,,,1.19462,0.0455105
,,,,1.52443,0.0461191,,,1.19906,0.0455137,,,1.19906,0.0455144
,,,,1.52906,0.0461311,,,1.20352,0.0455176,,,1.20352,0.0455183
,,,,1.53371,0.0461429,,,1.208,0.0455215,,,1.208,0.0455221
,,,,1.53837,0.0461546,,,1.21249,0.0455254,,,1.21249,0.045526
,,,,1.54305,0.046166,,,1.217,0.0455294,,,1.217,0.04553
,,,,1.54774,0.0461773,,,1.22153,0.0455334,,,1.22153,0.045534
,,,,1.55245,0.0461883,,,1.22608,0.0455375,,,1.22608,0.0455381
,,,,1.55717,0.0461991,,,1.23064,0.0455416,,,1.23064,0.0455422
,,,,1.56191,0.0462096,,,1.23522,0.0455459,,,1.23522,0.0455465
,,,,1.56665,0.0462199,,,1.23981,0.0455503,,,1.23981,0.0455508
,,,,1.57142,0.04623,,,1.24442,0.0455547,,,1.24442,0.0455553
,,,,1.5762,0.0462398,,,1.24905,0.0455594,,,1.24905,0.0455599
,,,,1.58099,0.0462493,,,1.2537,0.0455641,,,1.2537,0.0455647
,,,,1.5858,0.0462585,,,1.25836,0.0455691,,,1.25836,0.0455696
,,,,1.59062,0.0462674,,,1.26304,0.0455741,,,1.26304,0.0455747
,,,,1.59545,0.046276,,,1.26774,0.0455794,,,1.26774,0.0455799
,,,,1.6003,0.0462843,,,1.27246,0.0455848,,,1.27246,0.0455854
,,,,1.60517,0.0462922,,,1.27719,0.0455905,,,1.27719,0.045591
,,,,1.61005,0.0462999,,,1.28194,0.0455963,,,1.28194,0.0455968
,,,,1.61495,0.0463072,,,1.28671,0.0456024,,,1.28671,0.0456029
,,,,1.61986,0.0463142,,,1.2915,0.0456086,,,1.2915,0.0456091
,,,,1.62478,0.0463208,,,1.2963,0.0456151,,,1.2963,0.0456156
,,,,1.62972,0.0463272,,,1.30113,0.0456218,,,1.30113,0.0456223
,,,,1.63468,0.0463332,,,1.30597,0.0456288,,,1.30597,0.0456292
,,,,1.63965,0.0463388,,,1.31082,0.045636,,,1.31082,0.0456364
,,,,1.64463,0.0463441,,,1.3157,0.0456434,,,1.3157,0.0456438
,,,,1.64963,0.0463491,,,1.3206,0.045651,,,1.3206,0.0456515
,,,,1.65465,0.0463537,,,1.32551,0.045659,,,1.32551,0.0456594
,,,,1.65968,0.046358,,,1.33044,0.0456671,,,1.33044,0.0456675
,,,,1.66473,0.0463619,,,1.33539,0.0456755,,,1.33539,0.0456759
,,,,1.66979,0.0463655,,,1.34036,0.0456842,,,1.34036,0.0456845
,,,,1.67487,0.0463688,,,1.34534,0.0456931,,,1.34534,0.0456934
,,,,1.67996,0.0463718,,,1.35035,0.0457022,,,1.35035,0.0457025
,,,,1.68507,0.0463745,,,1.35537,0.0457116,,,1.35537,0.0457119
,,,,1.69019,0.0463768,,,1.36041,0.0457212,,,1.36041,0.0457215
,,,,1.69533,0.0463789,,,1.36547,0.045731,,,1.36547,0.0457314
,,,,1.70048,0.0463807,,,1.37055,0.0457411,,,1.37055,0.0457414
,,,,1.70565,0.0463821,,,1.37565,0.0457514,,,1.37565,0.0457517
,,,,1.71084,0.0463833,,,1.38077,0.0457619,,,1.38077,0.0457622
,,,,1.71604,0.0463843,,,1.38591,0.0457726,,,1.38591,0.0457729
,,,,1.72126,0.0463849,,,1.39106,0.0457836,,,1.39106,0.0457838
,,,,1.72649,0.0463854,,,1.39624,0.0457947,,,1.39624,0.045795
,,,,1.73174,0.0463856,,,1.40143,0.045806,,,1.40143,0.0458062
,,,,1.73701,0.0463856,,,1.40664,0.0458175,,,1.40664,0.0458177
,,,,1.74229,0.0463854,,,1.41188,0.0458291,,,1.41188,0.0458293
,,,,1.74759,0.046385,,,1.41713,0.0458409,,,1.41713,0.0458411
,,,,1.7529,0.0463844,,,1.4224,0.0458528,,,1.4224,0.045853
,,,,1.75823,0.0463836,,,1.42769,0.0458648,,,1.42769,0.0458651
,,,,1.76358,0.0463828,,,1.433,0.045877,,,1.433,0.0458772
,,,,1.76894,0.0463817,,,1.43834,0.0458893,,,1.43834,0.0458895
,,,,1.77432,0.0463806,,,1.44369,0.0459016,,,1.44369,0.0459018
,,,,1.77971,0.0463793,,,1.44906,0.0459141,,,1.44906,0.0459143
,,,,1.78513,0.046378,,,1.45445,0.0459265,,,1.45445,0.0459267
,,,,1.79055,0.0463766,,,1.45986,0.0459391,,,1.45986,0.0459393
,,,,1.796,0.0463752,,,1.46529,0.0459516,,,1.46529,0.0459518
,,,,1.80146,0.0463737,,,1.47074,0.0459642,,,1.47074,0.0459644
,,,,1.80694,0.0463722,,,1.47621,0.0459768,,,1.47621,0.045977
,,,,1.81243,0.0463707,,,1.4817,0.0459893,,,1.4817,0.0459895
,,,,1.81794,0.0463692,,,1.48721,0.0460019,,,1.48721,0.046002
,,,,1.82347,0.0463677,,,1.49275,0.0460144,,,1.49275,0.0460145
,,,,1.82901,0.0463663,,,1.4983,0.0460268,,,1.4983,0.0460269
,,,,1.83457,0.0463649,,,1.50387,0.0460391,,,1.50387,0.0460393
,,,,1.84015,0.0463636,,,1.50947,0.0460514,,,1.50947,0.0460515
,,,,1.84575,0.0463624,,,1.51508,0.0460635,,,1.51508,0.0460636
,,,,1.85136,0.0463613,,,1.52072,0.0460755,,,1.52072,0.0460756
,,,,1.85699,0.0463603,,,1.52638,0.0460874,,,1.52638,0.0460875
,,,,1.86263,0.0463595,,,1.53206,0.0460991,,,1.53206,0.0460992
,,,,1.8683,0.0463588,,,1.53776,0.0461107,,,1.53776,0.0461108
,,,,1.87398,0.0463582,,,1.54348,0.0461221,,,1.54348,0.0461222
,,,,1.87968,0.0463579,,,1.54922,0.0461333,,,1.54922,0.0461334
,,,,1.88539,0.0463577,,,1.55498,0.0461442,,,1.55498,0.0461444
,,,,1.89112,0.0463577,,,1.56077,0.046155,,,1.56077,0.0461551
,,,,1.89687,0.0463579,,,1.56657,0.0461656,,,1.56657,0.0461657
,,,,1.90264,0.0463583,,,1.5724,0.0461759,,,1.5724,0.046176
,,,,1.90843,0.0463589,,,1.57825,0.0461859,,,1.57825,0.046186
,,,,1.91423,0.0463598,,,1.58412,0.0461957,,,1.58412,0.0461959
,,,,1.92005,0.0463609,,,1.59001,0.0462053,,,1.59001,0.0462054
,,,,1.92589,0.0463622,,,1.59593,0.0462146,,,1.59593,0.0462147
,,,,1.93174,0.0463638,,,1.60187,0.0462236,,,1.60187,0.0462237
,,,,1.93762,0.0463656,,,1.60782,0.0462323,,,1.60782,0.0462324
,,,,1.94351,0.0463677,,,1.61381,0.0462407,,,1.61381,0.0462408
,,,,1.94942,0.04637,,,1.61981,0.0462488,,,1.61981,0.0462489
,,,,1.95535,0.0463726,,,1.62583,0.0462567,,,1.62583,0.0462568
,,,,1.96129,0.0463754,,,1.63188,0.0462642,,,1.63188,0.0462643
,,,,1.96726,0.0463785,,,1.63795,0.0462714,,,1.63795,0.0462715
,,,,1.97324,0.0463819,,,1.64405,0.0462784,,,1.64405,0.0462784
,,,,1.97924,0.0463854,,,1.65016,0.046285,,,1.65016,0.0462851
,,,,1.98525,0.0463893,,,1.6563,0.0462913,,,1.6563,0.0462914
,,,,1.99129,0.0463933,,,1.66246,0.0462974,,,1.66246,0.0462975
,,,,1.99735,0.0463976,,,1.66865,0.0463031,,,1.66865,0.0463032
,,,,2.00342,0.0464021,,,1.67486,0.0463086,,,1.67486,0.0463087
,,,,2.00951,0.0464069,,,1.68109,0.0463138,,,1.68109,0.0463138
,,,,2.01562,0.0464118,,,1.68734,0.0463187,,,1.68734,0.0463187
,,,,2.02175,0.046417,,,1.69362,0.0463233,,,1.69362,0.0463234
,,,,2.0279,0.0464223,,,1.69992,0.0463277,,,1.69992,0.0463277
,,,,2.03406,0.0464278,,,1.70624,0.0463318,,,1.70624,0.0463318
,,,,2.04025,0.0464334,,,1.71259,0.0463356,,,1.71259,0.0463357
,,,,2.04645,0.0464393,,,1.71896,0.0463393,,,1.71896,0.0463393
,,,,2.05267,0.0464452,,,1.72535,0.0463427,,,1.72535,0.0463427
,,,,2.05891,0.0464513,,,1.73177,0.0463459,,,1.73177,0.0463459
,,,,2.06517,0.0464575,,,1.73822,0.0463489,,,1.73822,0.0463489
,,,,2.07145,0.0464638,,,1.74468,0.0463517,,,1.74468,0.0463517
,,,,2.07775,0.0464701,,,1.75117,0.0463543,,,1.75117,0.0463543
,,,,2.08407,0.0464766,,,1.75769,0.0463567,,,1.75769,0.0463568
,,,,2.09041,0.046483,,,1.76423,0.046359,,,1.76423,0.0463591
,,,,2.09676,0.0464895,,,1.77079,0.0463612,,,1.77079,0.0463613
,,,,2.10314,0.0464961,,,1.77738,0.0463632,,,1.77738,0.0463633
,,,,2.10953,0.0465026,,,1.78399,0.0463652,,,1.78399,0.0463652
,,,,2.11595,0.046509,,,1.79062,0.046367,,,1.79062,0.0463671
,,,,2.12238,0.0465155,,,1.79729,0.0463688,,,1.79729,0.0463688
,,,,2.12883,0.0465219,,,1.80397,0.0463705,,,1.80397,0.0463705
,,,,2.13531,0.0465282,,,1.81068,0.0463721,,,1.81068,0.0463722
,,,,2.1418,0.0465344,,,1.81742,0.0463737,,,1.81742,0.0463738
,,,,2.14831,0.0465405,,,1.82418,0.0463753,,,1.82418,0.0463753
,,,,2.15484,0.0465464,,,1.83097,0.0463768,,,1.83097,0.0463769
,,,,2.1614,0.0465523,,,1.83778,0.0463784,,,1.83778,0.0463785
,,,,2.16797,0.0465579,,,1.84461,0.04638,,,1.84461,0.0463801
,,,,2.17456,0.0465634,,,1.85148,0.0463816,,,1.85148,0.0463817
,,,,2.18117,0.0465686,,,1.85836,0.0463833,,,1.85836,0.0463833
,,,,2.1878,0.0465737,,,1.86528,0.046385,,,1.86528,0.046385
,,,,2.19446,0.0465785,,,1.87222,0.0463867,,,1.87222,0.0463868
,,,,2.20113,0.046583,,,1.87918,0.0463885,,,1.87918,0.0463886
,,,,2.20782,0.0465873,,,1.88617,0.0463905,,,1.88617,0.0463905
,,,,2.21453,0.0465913,,,1.89319,0.0463925,,,1.89319,0.0463925
,,,,2.22127,0.046595,,,1.90023,0.0463946,,,1.90023,0.0463946
,,,,2.22802,0.0465984,,,1.9073,0.0463968,,,1.9073,0.0463968
,,,,2.2348,0.0466015,,,1.9144,0.0463991,,,1.9144,0.0463992
,,,,2.24159,0.0466043,,,1.92152,0.0464015,,,1.92152,0.0464016
,,,,2.24841,0.0466066,,,1.92867,0.0464041,,,1.92867,0.0464042
,,,,2.25524,0.0466087,,,1.93584,0.0464068,,,1.93584,0.0464068
,,,,2.2621,0.0466103,,,1.94304,0.0464096,,,1.94304,0.0464096
,,,,2.26898,0.0466116,,,1.95027,0.0464125,,,1.95027,0.0464126
,,,,2.27588,0.0466125,,,1.95753,0.0464155,,,1.95753,0.0464156
,,,,2.2828,0.0466129,,,1.96481,0.0464187,,,1.96481,0.0464188
,,,,2.28974,0.046613,,,1.97212,0.046422,,,1.97212,0.0464221
,,,,2.2967,0.0466126,,,1.97945,0.0464254,,,1.97945,0.0464255
,,,,2.30368,0.0466119,,,1.98682,0.046429,,,1.98682,0.046429
,,,,2.31069,0.0466106,,,1.99421,0.0464326,,,1.99421,0.0464327
,,,,2.31771,0.046609,,,2.00163,0.0464364,,,2.00163,0.0464364
,,,,2.32476,0.0466069,,,2.00907,0.0464402,,,2.00907,0.0464403
,,,,2.33183,0.0466043,,,2.01655,0.0464442,,,2.01655,0.0464442
,,,,2.33892,0.0466013,,,2.02405,0.0464482,,,2.02405,0.0464482
,,,,2.34603,0.0465979,,,2.03158,0.0464523,,,2.03158,0.0464523
,,,,2.35316,0.0465939,,,2.03914,0.0464564,,,2.03914,0.0464565
,,,,2.36032,0.0465896,,,2.04672,0.0464606,,,2.04672,0.0464607
,,,,2.3675,0.0465847,,,2.05434,0.0464648,,,2.05434,0.0464649
,,,,2.37469,0.0465794,,,2.06198,0.0464691,,,2.06198,0.0464691
,,,,2.38191,0.0465737,,,2.06965,0.0464733,,,2.06965,0.0464734
,,,,2.38916,0.0465674,,,2.07735,0.0464776,,,2.07735,0.0464777
,,,,2.39642,0.0465608,,,2.08508,0.0464818,,,2.08508,0.0464819
,,,,2.40371,0.0465536,,,2.09283,0.046486,,,2.09283,0.0464861
,,,,2.41102,0.046546,,,2.10062,0.0464901,,,2.10062,0.0464902
,,,,2.41835,0.046538,,,2.10843,0.0464942,,,2.10843,0.0464943
,,,,2.4257,0.0465295,,,2.11628,0.0464982,,,2.11628,0.0464983
,,,,2.43308,0.0465205,,,2.12415,0.0465021,,,2.12415,0.0465021
,,,,2.44047,0.0465111,,,2.13205,0.0465058,,,2.13205,0.0465059
,,,,2.44789,0.0465013,,,2.13998,0.0465094,,,2.13998,0.0465095
,,,,2.45534,0.046491,,,2.14794,0.0465129,,,2.14794,0.046513
,,,,2.4628,0.0464804,,,2.15593,0.0465162,,,2.15593,0.0465163
,,,,2.47029,0.0464692,,,2.16395,0.0465193,,,2.16395,0.0465193
,,,,2.4778,0.0464577,,,2.172,0.0465221,,,2.172,0.0465222
,,,,2.48534,0.0464458,,,2.18008,0.0465248,,,2.18008,0.0465249
,,,,2.49289,0.0464335,,,2.18819,0.0465272,,,2.18819,0.0465272
,,,,2.50047,0.0464207,,,2.19633,0.0465293,,,2.19633,0.0465294
,,,,2.50808,0.0464076,,,2.20451,0.0465311,,,2.20451,0.0465312
,,,,2.5157,0.0463941,,,2.21271,0.0465327,,,2.21271,0.0465328
,,,,2.52335,0.0463802,,,2.22094,0.0465339,,,2.22094,0.046534
,,,,2.53102,0.046366,,,2.2292,0.0465348,,,2.2292,0.0465349
,,,,2.53872,0.0463514,,,2.23749,0.0465353,,,2.23749,0.0465354
,,,,2.54644,0.0463364,,,2.24582,0.0465355,,,2.24582,0.0465356
,,,,2.55418,0.0463212,,,2.25417,0.0465353,,,2.25417,0.0465354
,,,,2.56195,0.0463055,,,2.26256,0.0465347,,,2.26256,0.0465348
,,,,2.56974,0.0462896,,,2.27097,0.0465337,,,2.27097,0.0465338
,,,,2.57755,0.0462733,,,2.27942,0.0465322,,,2.27942,0.0465323
,,,,2.58539,0.0462567,,,2.2879,0.0465304,,,2.2879,0.0465305
,,,,2.59325,0.0462399,,,2.29641,0.0465281,,,2.29641,0.0465281
,,,,2.60113,0.0462227,,,2.30496,0.0465253,,,2.30496,0.0465254
,,,,2.60904,0.0462052,,,2.31353,0.0465221,,,2.31353,0.0465222
,,,,2.61698,0.0461875,,,2.32214,0.0465184,,,2.32214,0.0465184
,,,,2.62493,0.0461695,,,2.33078,0.0465142,,,2.33078,0.0465143
,,,,2.63291,0.0461512,,,2.33945,0.0465095,,,2.33945,0.0465096
,,,,2.64092,0.0461327,,,2.34815,0.0465043,,,2.34815,0.0465044
,,,,2.64895,0.046114,,,2.35688,0.0464986,,,2.35688,0.0464987
,,,,2.657,0.046095,,,2.36565,0.0464924,,,2.36565,0.0464925
,,,,2.66508,0.0460758,,,2.37445,0.0464857,,,2.37445,0.0464858
,,,,2.67319,0.0460563,,,2.38329,0.0464785,,,2.38329,0.0464786
,,,,2.68131,0.0460367,,,2.39215,0.0464707,,,2.39215,0.0464708
,,,,2.68947,0.0460168,,,2.40105,0.0464625,,,2.40105,0.0464625
,,,,2.69764,0.0459967,,,2.40998,0.0464537,,,2.40998,0.0464537
,,,,2.70585,0.0459764,,,2.41895,0.0464443,,,2.41895,0.0464444
,,,,2.71407,0.045956,,,2.42795,0.0464345,,,2.42795,0.0464346
,,,,2.72233,0.0459353,,,2.43698,0.0464241,,,2.43698,0.0464242
,,,,2.7306,0.0459145,,,2.44605,0.0464132,,,2.44605,0.0464133
,,,,2.73891,0.0458935,,,2.45514,0.0464018,,,2.45514,0.0464019
,,,,2.74723,0.0458724,,,2.46428,0.0463898,,,2.46428,0.0463899
,,,,2.75559,0.045851,,,2.47345,0.0463774,,,2.47345,0.0463775
,,,,2.76397,0.0458296,,,2.48265,0.0463644,,,2.48265,0.0463645
,,,,2.77237,0.0458079,,,2.49188,0.0463509,,,2.49188,0.046351
,,,,2.7808,0.0457861,,,2.50115,0.0463369,,,2.50115,0.046337
,,,,2.78925,0.0457642,,,2.51046,0.0463225,,,2.51046,0.0463225
,,,,2.79774,0.0457421,,,2.5198,0.0463075,,,2.5198,0.0463075
,,,,2.80624,0.0457199,,,2.52917,0.046292,,,2.52917,0.0462921
,,,,2.81478,0.0456975,,,2.53858,0.046276,,,2.53858,0.0462761
,,,,2.82333,0.045675,,,2.54802,0.0462596,,,2.54802,0.0462597
,,,,2.83192,0.0456523,,,2.5575,0.0462427,,,2.5575,0.0462428
,,,,2.84053,0.0456296,,,2.56702,0.0462254,,,2.56702,0.0462254
,,,,2.84917,0.0456067,,,2.57657,0.0462076,,,2.57657,0.0462076
,,,,2.85783,0.0455836,,,2.58615,0.0461893,,,2.58615,0.0461894
,,,,2.86652,0.0455604,,,2.59577,0.0461706,,,2.59577,0.0461707
,,,,2.87523,0.0455371,,,2.60543,0.0461515,,,2.60543,0.0461515
,,,,2.88398,0.0455137,,,2.61512,0.0461319,,,2.61512,0.046132
,,,,2.89275,0.0454901,,,2.62485,0.046112,,,2.62485,0.046112
,,,,2.90154,0.0454664,,,2.63461,0.0460916,,,2.63461,0.0460917
,,,,2.91036,0.0454426,,,2.64441,0.0460708,,,2.64441,0.0460709
,,,,2.91921,0.0454186,,,2.65425,0.0460496,,,2.65425,0.0460497
,,,,2.92809,0.0453945,,,2.66413,0.0460281,,,2.66413,0.0460282
,,,,2.93699,0.0453702,,,2.67404,0.0460062,,,2.67404,0.0460062
,,,,2.94592,0.0453459,,,2.68398,0.0459839,,,2.68398,0.0459839
,,,,2.95488,0.0453213,,,2.69397,0.0459612,,,2.69397,0.0459613
,,,,2.96386,0.0452966,,,2.70399,0.0459382,,,2.70399,0.0459383
,,,,2.97288,0.0452718,,,2.71405,0.0459148,,,2.71405,0.0459149
,,,,2.98191,0.0452468,,,2.72415,0.0458911,,,2.72415,0.0458912
,,,,2.99098,0.0452217,,,2.73428,0.0458671,,,2.73428,0.0458671
,,,,3.00008,0.0451964,,,2.74445,0.0458427,,,2.74445,0.0458427
,,,,3.0092,0.045171,,,2.75466,0.045818,,,2.75466,0.045818
,,,,3.01835,0.0451453,,,2.76491,0.0457929,,,2.76491,0.045793
,,,,3.02752,0.0451196,,,2.7752,0.0457676,,,2.7752,0.0457677
,,,,3.03673,0.0450936,,,2.78552,0.0457419,,,2.78552,0.045742
,,,,3.04596,0.0450675,,,2.79588,0.045716,,,2.79588,0.0457161
,,,,3.05523,0.0450411,,,2.80628,0.0456897,,,2.80628,0.0456898
,,,,3.06451,0.0450146,,,2.81672,0.0456632,,,2.81672,0.0456632
,,,,3.07383,0.0449879,,,2.8272,0.0456363,,,2.8272,0.0456364
,,,,3.08318,0.044961,,,2.83772,0.0456091,,,2.83772,0.0456092
,,,,3.09255,0.0449339,,,2.84827,0.0455817,,,2.84827,0.0455818
,,,,3.10196,0.0449066,,,2.85887,0.045554,,,2.85887,0.045554
,,,,3.11139,0.0448791,,,2.86951,0.0455259,,,2.86951,0.045526
,,,,3.12085,0.0448514,,,2.88018,0.0454976,,,2.88018,0.0454977
,,,,3.13034,0.0448235,,,2.8909,0.045469,,,2.8909,0.0454691
,,,,3.13986,0.0447953,,,2.90165,0.0454401,,,2.90165,0.0454402
,,,,3.1494,0.0447669,,,2.91244,0.045411,,,2.91244,0.045411
,,,,3.15898,0.0447383,,,2.92328,0.0453815,,,2.92328,0.0453816
,,,,3.16858,0.0447094,,,2.93415,0.0453518,,,2.93415,0.0453518
,,,,3.17822,0.0446803,,,2.94507,0.0453217,,,2.94507,0.0453218
,,,,3.18788,0.044651,,,2.95602,0.0452914,,,2.95602,0.0452915
,,,,3.19757,0.0446214,,,2.96702,0.0452608,,,2.96702,0.0452608
,,,,3.2073,0.0445916,,,2.97806,0.0452299,,,2.97806,0.0452299
,,,,3.21705,0.0445615,,,2.98914,0.0451987,,,2.98914,0.0451987
,,,,3.22683,0.0445311,,,3.00026,0.0451672,,,3.00026,0.0451672
,,,,3.23664,0.0445005,,,3.01142,0.0451354,,,3.01142,0.0451354
,,,,3.24648,0.0444696,,,3.02262,0.0451033,,,3.02262,0.0451033
,,,,3.25635,0.0444384,,,3.03387,0.0450709,,,3.03387,0.0450709
,,,,3.26626,0.0444069,,,3.04515,0.0450382,,,3.04515,0.0450382
,,,,3.27619,0.0443752,,,3.05648,0.0450051,,,3.05648,0.0450052
,,,,3.28615,0.0443432,,,3.06785,0.0449718,,,3.06785,0.0449718
,,,,3.29614,0.0443109,,,3.07926,0.0449381,,,3.07926,0.0449382
,,,,3.30616,0.0442783,,,3.09072,0.0449041,,,3.09072,0.0449042
,,,,3.31622,0.0442454,,,3.10222,0.0448698,,,3.10222,0.0448698
,,,,3.3263,0.0442122,,,3.11376,0.0448351,,,3.11376,0.0448352
,,,,3.33641,0.0441787,,,3.12534,0.0448001,,,3.12534,0.0448002
,,,,3.34656,0.0441449,,,3.13697,0.0447648,,,3.13697,0.0447648
,,,,3.35673,0.0441108,,,3.14864,0.0447291,,,3.14864,0.0447291
,,,,3.36694,0.0440764,,,3.16035,0.0446931,,,3.16035,0.0446931
,,,,3.37718,0.0440417,,,3.17211,0.0446567,,,3.17211,0.0446567
,,,,3.38744,0.0440066,,,3.18391,0.0446199,,,3.18391,0.04462
,,,,3.39774,0.0439713,,,3.19575,0.0445828,,,3.19575,0.0445828
,,,,3.40808,0.0439357,,,3.20764,0.0445453,,,3.20764,0.0445453
,,,,3.41844,0.0438997,,,3.21957,0.0445074,,,3.21957,0.0445075
,,,,3.42883,0.0438634,,,3.23155,0.0444692,,,3.23155,0.0444692
,,,,3.43926,0.0438268,,,3.24357,0.0444306,,,3.24357,0.0444306
,,,,3.44972,0.0437899,,,3.25564,0.0443916,,,3.25564,0.0443916
,,,,3.4602,0.0437527,,,3.26775,0.0443522,,,3.26775,0.0443522
,,,,3.47073,0.0437151,,,3.27991,0.0443123,,,3.27991,0.0443124
,,,,3.48128,0.0436772,,,3.29211,0.0442721,,,3.29211,0.0442722
,,,,3.49186,0.043639,,,3.30435,0.0442315,,,3.30435,0.0442316
,,,,3.50248,0.0436005,,,3.31665,0.0441905,,,3.31665,0.0441905
,,,,3.51313,0.0435616,,,3.32898,0.0441491,,,3.32898,0.0441491
,,,,3.52381,0.0435224,,,3.34137,0.0441072,,,3.34137,0.0441073
,,,,3.53453,0.043483,,,3.3538,0.044065,,,3.3538,0.044065
,,,,3.54527,0.0434431,,,3.36628,0.0440223,,,3.36628,0.0440223
,,,,3.55605,0.043403,,,3.3788,0.0439792,,,3.3788,0.0439792
,,,,3.56687,0.0433625,,,3.39137,0.0439356,,,3.39137,0.0439357
,,,,3.57771,0.0433217,,,3.40398,0.0438917,,,3.40398,0.0438917
,,,,3.58859,0.0432806,,,3.41665,0.0438473,,,3.41665,0.0438473
,,,,3.5995,0.0432392,,,3.42936,0.0438024,,,3.42936,0.0438025
,,,,3.61044,0.0431974,,,3.44212,0.0437572,,,3.44212,0.0437572
,,,,3.62142,0.0431554,,,3.45492,0.0437114,,,3.45492,0.0437115
,,,,3.63243,0.043113,,,3.46777,0.0436653,,,3.46777,0.0436653
,,,,3.64348,0.0430703,,,3.48067,0.0436187,,,3.48067,0.0436187
,,,,3.65456,0.0430272,,,3.49362,0.0435716,,,3.49362,0.0435716
,,,,3.66567,0.0429839,,,3.50662,0.0435241,,,3.50662,0.0435241
,,,,3.67681,0.0429402,,,3.51966,0.0434762,,,3.51966,0.0434762
,,,,3.68799,0.0428962,,,3.53276,0.0434278,,,3.53276,0.0434278
,,,,3.69921,0.0428519,,,3.5459,0.0433789,,,3.5459,0.0433789
,,,,3.71046,0.0428073,,,3.55909,0.0433296,,,3.55909,0.0433296
,,,,3.72174,0.0427624,,,3.57233,0.0432799,,,3.57233,0.0432799
,,,,3.73305,0.0427172,,,3.58562,0.0432296,,,3.58562,0.0432297
,,,,3.7444,0.0426716,,,3.59896,0.043179,,,3.59896,0.043179
,,,,3.75579,0.0426258,,,3.61235,0.0431279,,,3.61235,0.0431279
,,,,3.76721,0.0425796,,,3.62579,0.0430763,,,3.62579,0.0430763
,,,,3.77866,0.0425332,,,3.63927,0.0430243,,,3.63927,0.0430243
,,,,3.79015,0.0424864,,,3.65281,0.0429718,,,3.65281,0.0429718
,,,,3.80168,0.0424393,,,3.6664,0.0429188,,,3.6664,0.0429188
,,,,3.81324,0.042392,,,3.68004,0.0428654,,,3.68004,0.0428654
,,,,3.82483,0.0423443,,,3.69373,0.0428116,,,3.69373,0.0428116
,,,,3.83646,0.0422963,,,3.70747,0.0427573,,,3.70747,0.0427573
,,,,3.84813,0.042248,,,3.72126,0.0427025,,,3.72126,0.0427025
,,,,3.85983,0.0421994,,,3.73511,0.0426473,,,3.73511,0.0426473
,,,,3.87156,0.0421506,,,3.749,0.0425916,,,3.749,0.0425916
,,,,3.88333,0.0421014,,,3.76295,0.0425355,,,3.76295,0.0425355
,,,,3.89514,0.0420519,,,3.77695,0.0424789,,,3.77695,0.0424789
,,,,3.90698,0.0420022,,,3.791,0.0424219,,,3.791,0.0424219
,,,,3.91886,0.0419521,,,3.8051,0.0423644,,,3.8051,0.0423644
,,,,3.93078,0.0419017,,,3.81926,0.0423064,,,3.81926,0.0423065
,,,,3.94273,0.0418511,,,3.83346,0.042248,,,3.83346,0.0422481
,,,,3.95472,0.0418002,,,3.84772,0.0421892,,,3.84772,0.0421892
,,,,3.96674,0.0417489,,,3.86204,0.0421299,,,3.86204,0.0421299
,,,,3.97881,0.0416974,,,3.87641,0.0420702,,,3.87641,0.0420702
,,,,3.9909,0.0416456,,,3.89083,0.04201,,,3.89083,0.04201
