# Strata OUTPUT -- Response -- 25 (Outcrop) -- Shear Strain Time Series -- manual-example\G01000.AT2
# Example site for the manual figures
# Time (s),S-1
1.66,-0.000139395
1.665,-0.000150876
1.67,-0.000166758
1.675,-0.000199898
1.68,-0.00024955
1.685,-0.000304148
1.69,-0.000347736
1.695,-0.000364055
1.7,-0.000341892
1.705,-0.000283604
1.71,-0.000207988
1.715,-0.000139995
1.72,-9.50405e-05
1.725,-7.25642e-05
1.73,-6.40967e-05
1.735,-6.75732e-05
1.74,-9.44309e-05
1.745,-0.000161943
1.75,-0.000276778
1.755,-0.000425302
1.76,-0.000579731
1.765,-0.000713259
1.77,-0.000811313
1.775,-0.00087254
1.78,-0.000900637
1.785,-0.000895378
1.79,-0.000854353
1.795,-0.000783736
1.8,-0.000701493
1.805,-0.00062676
1.81,-0.000568735
1.815,-0.000525289
1.82,-0.000487122
1.825,-0.000442998
1.83,-0.00038546
1.835,-0.000313026
1.84,-0.000227322
1.845,-0.000130049
1.85,-2.41543e-05
1.855,8.03682e-05
1.86,0.0001626
1.865,0.000195907
1.87,0.000159843
1.875,5.30951e-05
1.88,-0.000100043
1.885,-0.000259296
1.89,-0.000387698
1.895,-0.000461701
1.9,-0.000468739
1.905,-0.00040326
1.91,-0.000268343
1.915,-8.24927e-05
1.92,0.000116519
1.925,0.000280099
1.93,0.000367274
1.935,0.000362486
1.94,0.00028367
1.945,0.00017308
1.95,7.43535e-05
1.955,1.69313e-05
1.96,1.73599e-05
1.965,8.24987e-05
1.97,0.000207196
1.975,0.000373217
1.98,0.00054997
1.985,0.000697416
1.99,0.0007757
1.995,0.000759181
2,0.000647461
2.005,0.000464881
2.01,0.000246757
2.015,2.46547e-05
2.02,-0.000178773
2.025,-0.000347214
2.03,-0.000467263
2.035,-0.000530447
2.04,-0.000539748
2.045,-0.000510572
2.05,-0.000466322
2.055,-0.000434411
2.06,-0.000434146
2.065,-0.000461322
2.07,-0.000492809
2.075,-0.00050737
2.08,-0.000498489
2.085,-0.000472239
2.09,-0.000437815
2.095,-0.000399838
2.1,-0.000359527
2.105,-0.000322376
2.11,-0.00030146
2.115,-0.000309983
2.12,-0.000350102
2.125,-0.000411456
2.13,-0.000479145
